BTJD,mjd,cts,e_cts,bkg_model,raw_flux,e_raw_flux,flux,e_flux,scale,shift,bkg_frac,mjd_0,modelFlux,modelResidual
1871.54818,58871.04817999993,-10094.6314,1064.5701,-0.0013485611741000155,-1.2700778935136217,0.1339411907705303,-0.25976388749704554,0.110452695817309,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.1041000001205248,-1.2151877225825876,-0.0548901709310341
1871.56901,58871.06901000022,-8748.825,1064.1116,-0.0022897140297636195,-1.1007523490871904,0.13388350360087536,-0.09504461928166116,0.1104051249142447,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.124930000405584,-1.2151877225825876,0.11443537349539712
1871.58984,58871.08984000003,-10085.6482,1065.4089,-0.0032270844637643558,-1.268947652766742,0.1340467262076221,-0.20875793681644234,0.11053972411281679,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.145760000217706,-1.2151877225825876,-0.05375993018415448
1871.61067,58871.110669999856,-5748.3331,1048.9843,-0.0032270844637643558,-0.7232389678797609,0.13198022961718653,0.24125295998041602,0.1088356171237881,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.1665900000443798,-1.2151877225825876,0.4919487547028266
1871.63151,58871.13151000022,-11523.1705,1051.4888,-0.003630410805589092,-1.44981263161707,0.13229533870421123,-0.3471546000298092,0.10909546734565179,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.187430000405584,-1.2151877225825876,-0.23462490903448252
1871.65234,58871.15234000003,-8434.9337,1034.5788,-0.003630410805589092,-1.06125943594365,0.1301677704624114,-0.026739739719323384,0.10734099848890795,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.208260000217706,-1.2151877225825876,0.15392828663893754
1871.67317,58871.173169999856,-8102.4859,1047.2694,-0.003983325446544572,-1.0194317965979245,0.13176446576278897,0.01716011958796832,0.10865769053346107,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.2290900000443798,-1.2151877225825876,0.19575592598466307
1871.694,58871.19400000013,-9727.662,1042.0066,-0.004225901338253682,-1.2239068443620935,0.13110231519253795,-0.14499121451374417,0.10811165749388259,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.2499200003148871,-1.2151877225825876,-0.008719121779505956
1871.71483,58871.21482999995,-10873.0128,1041.9366,-0.004225901338253682,-1.368011633705679,0.13109350799106395,-0.2638251771776511,0.10810439476059036,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.270750000141561,-1.2151877225825876,-0.15282391112309135
1871.73567,58871.235669999856,-14115.1509,1044.2783,-0.005019392750966828,-1.7759282544679047,0.1313881340438033,-0.5790565044755618,0.10834735393988294,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.2915900000443798,-1.2151877225825876,-0.5607405318853171
1871.7565,58871.25650000013,-8018.6137,1055.8114,-0.007017077146349196,-1.0088792342626267,0.1328391959769495,0.10672982021896742,0.10954395150178198,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.3124200003148871,-1.2151877225825876,0.20630848831996085
1871.77733,58871.27732999995,-11244.9796,1050.9862,-0.007017077146349196,-1.414811441552155,0.1322321029976276,-0.2280163945657974,0.10904332092061338,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.333250000141561,-1.2151877225825876,-0.19962371896956754
1871.79816,58871.29815999977,-6947.9038,1050.2830000000001,-0.007017077146349196,-0.8741655512690921,0.13214362836796267,0.2178195407486736,0.108970361577026,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.354079999960959,-1.2151877225825876,0.34102217131349544
1871.81899,58871.31899000006,-9003.1602,1036.3893,-0.007017077146349196,-1.1327520826349022,0.1303955624376792,0.004579839600033803,0.1075288438978455,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.3749100002460182,-1.2151877225825876,0.08243563994768532
1871.83983,58871.33982999995,-9436.4726,1036.155,-0.007017077146349196,-1.1872702198920315,0.13036608347617396,-0.04037776602036452,0.10750453449198301,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.395750000141561,-1.2151877225825876,0.02791750269055604
1871.86066,58871.36065999977,-15589.6541,1035.1376,-0.007094907698439827,-1.9614460652752508,0.130238077093607,-0.6767162025702312,0.10739897585124669,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.416579999960959,-1.2151877225825876,-0.7462583426926632
1871.88149,58871.38149000006,-11072.5896,1049.1524,-0.007094907698439827,-1.3931218206648768,0.1320013794824406,-0.20805570646418314,0.10885305805902279,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.4374100002460182,-1.2151877225825876,-0.17793409808228922
1871.90232,58871.40231999987,-8407.3881,1046.5017,-0.007017077146349196,-1.0577937266733177,0.13166787592605153,0.06639318053243395,0.10857803909991154,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.4582400000581401,-1.2151877225825876,0.15739399590926983
1871.92315,58871.42315000016,-9176.3081,1033.0083,-0.007017077146349196,-1.154537060350711,0.12997017460648314,-0.013384832083029374,0.10717805387982948,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.4790700003504753,-1.2151877225825876,0.06065066223187654
1871.94399,58871.44399000006,-10536.1202,1045.1709,-0.007094907698439827,-1.3256247622297845,0.1315004384443137,-0.15239521829765074,0.1084399641646925,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.4999100002460182,-1.2151877225825876,-0.11043703964719698
1871.96482,58871.46481999987,-7360.2043,1056.8249,-0.007017077146349196,-0.9260400308597598,0.13296671167257718,0.17504198978061206,0.10964910550452057,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.5207400000581401,-1.2151877225825876,0.2891476917228277
1871.98565,58871.48565000016,-13513.1436,1069.3333,-0.007017077146349196,-1.7001854033258785,0.13454048308568944,-0.46334596878150264,0.11094689369184726,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.5415700003504753,-1.2151877225825876,-0.48499768074329097
1872.00648,58871.50647999997,-10092.4508,1057.1544,-0.007094907698439827,-1.2698035366059892,0.13300816842808708,-0.10636303940999661,0.10968329222766054,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.5624000001553213,-1.2151877225825876,-0.054615814023401654
1872.02731,58871.5273099998,-11316.6864,1059.7914,-0.007387779792512158,-1.423833387761563,0.1333399482893305,-0.22557476491558212,0.10995688976611313,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.5832299999892712,-1.2151877225825876,-0.20864566517897543
1872.04815,58871.54815000016,-11469.2531,1074.5661,-0.007836204286289485,-1.4430288972634082,0.135198859141023,-0.22945086593282113,0.11148981413144336,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.6040700003504753,-1.2151877225825876,-0.22784117468082066
1872.06898,58871.56897999997,-11049.0717,1071.6971,-0.007387779792512158,-1.3901628651856441,0.13483788969775135,-0.19780884789861908,0.11119214581979354,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.6249000001553213,-1.2151877225825876,-0.17497514260305658
1872.08981,58871.5898099998,-12251.6541,1076.3239,-0.007836204286289485,-1.5414683721275377,0.1354200205517525,-0.31062757722704054,0.11167219173974523,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.6457299999892712,-1.2151877225825876,-0.3262806495449502
1872.11064,58871.610640000086,-9370.8862,1037.399,-0.007387779792512158,-1.1790183250526483,0.13052260002808397,-0.02369150930671357,0.10763360363791967,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.6665600002743304,-1.2151877225825876,0.03616939752993931
1872.13147,58871.63146999991,-9091.3575,1060.6967,-0.007387779792512158,-1.1438488167858476,0.1334538505678226,0.005310524916592261,0.11005081765824858,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.6873900001010043,-1.2151877225825876,0.07133890579673996
1872.15231,58871.6523099998,-11213.1134,1035.0487,-0.007836204286289485,-1.410802126643412,0.13022689194773496,-0.20287551840912424,0.10738975217996552,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.7082299999892712,-1.2151877225825876,-0.19561440406082453
1872.17314,58871.673140000086,-6552.2626,1023.1698,-0.007836204286289485,-0.8243870975572307,0.12873232243930705,0.28070328552521634,0.10615727671560275,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.7290600002743304,-1.2151877225825876,0.39080062502535684
1872.19397,58871.69396999991,-7331.0633,1055.4967,-0.008401420622313454,-0.9223735928861175,0.1327996013154655,0.2149665230850043,0.10951130032796662,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.7498900001010043,-1.2151877225825876,0.29281412969647
1872.2148,58871.71480000018,-9073.3896,1076.0425,-0.008401822087708762,-1.1415881465663424,0.13538461560182685,0.034205064188991614,0.1116429955519103,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.7707200003715116,-1.2151877225825876,0.07359957601624512
1872.23563,58871.73563000001,-7815.1616,1057.7391,-0.008401822087708762,-0.9832814680481099,0.1330817337238281,0.16475041254399525,0.10974395680131742,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.7915500001981854,-1.2151877225825876,0.23190625453447766
1872.25647,58871.75646999991,-9863.9049,1049.0404,-0.008401822087708762,-1.2410485396436257,0.13198728796008213,-0.04781353277313282,0.10884143768575519,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.8123900001010043,-1.2151877225825876,-0.025860817061038155
1872.2773,58871.77730000018,-7491.5099,1075.7758,-0.008401822087708762,-0.9425605290578951,0.13535106016421075,0.1983303550680762,0.11161532453806682,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.8332200003715116,-1.2151877225825876,0.27262719352469245
1872.29813,58871.79813000001,-13518.12,1061.3558,-0.008401822087708762,-1.7008115198603844,0.13353677666055888,-0.42695052797083544,0.11011920147986183,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.8540500001981854,-1.2151877225825876,-0.4856237972777968
1872.31896,58871.81895999982,-9507.4774,1062.3552,-0.008401420622313454,-1.1962038424523715,0.13366251833417533,-0.010843693226540118,0.1102228925606087,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.8748800000103074,-1.2151877225825876,0.018983880130216013
1872.33979,58871.839790000115,-4280.2793,1121.0018,-0.008401420622313454,-0.5385326022893674,0.141041267219423,0.5314955305748005,0.11630767276486147,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.8957100003026426,-1.2151877225825876,0.6766551202932202
1872.36063,58871.86063000001,-12217.8922,1063.7414,-0.008401420622313454,-1.5372205456211614,0.1338369260867941,-0.2920582618520656,0.11036671543046195,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.9165500001981854,-1.2151877225825876,-0.32203282303857383
1872.38146,58871.88145999982,-8491.8026,1063.6063,-0.008401420622313454,-1.0684145196566064,0.13381992818794922,0.0945359522601272,0.11035269835520792,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.9373800000103074,-1.2151877225825876,0.14677320292598117
1872.40229,58871.902290000115,-8276.3982,1078.4683,-0.008401420622313454,-1.04131294895383,0.13568982287805148,0.11688487664839459,0.11189468038648688,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.9582100003026426,-1.2151877225825876,0.17387477362875758
1872.42312,58871.923119999934,-8889.5895,1046.3265,-0.008401822087708762,-1.1184629392570797,0.13164583275893368,0.05327493712313762,0.10855986151601438,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.9790400001220405,-1.2151877225825876,0.09672478332550782
1872.44395,58871.943950000226,-11646.5131,1060.6836,-0.00928744672044968,-1.4653312477389515,0.13345220236297534,-0.2091578657402134,0.1100494584895896,0.8246357612762896,0.0368981891057984,1.3085484938003966,1.9998700004143757,-1.2151877225825876,-0.25014352515636396
1872.46479,58871.964790000115,-11336.6924,1047.9436,-0.00934524167875818,-1.426350485942843,0.13184929169470036,-0.17547235324705127,0.10872764103039878,0.8246357612762896,0.0368981891057984,1.3085484938003966,2.0207100003026426,-1.2151877225825876,-0.21116276336025552
1872.48562,58871.985619999934,-8342.0724,1030.955,-0.00928744672044968,-1.0495758905402055,0.12971183422381682,0.1336888697480702,0.10696501716170105,0.8246357612762896,0.0368981891057984,1.3085484938003966,2.0415400001220405,-1.2151877225825876,0.16561183204238206
1872.50645,58872.006450000226,-7924.4471,1051.5728,-0.00928744672044968,-0.9970314597151244,0.13230590734598005,0.17701888646234043,0.10910418262560248,0.8246357612762896,0.0368981891057984,1.3085484938003966,2.0623700004143757,-1.2151877225825876,0.21815626286746315
1872.52728,58872.02728000004,-9780.0124,1051.5489,-0.00934524167875818,-1.2304934232199007,0.13230290031576253,-0.013961615227179659,0.10910170292094985,0.8246357612762896,0.0368981891057984,1.3085484938003966,2.0832000002264977,-1.2151877225825876,-0.01530570063731318
1872.54811,58872.048109999865,-8864.6238,1056.0006,-0.009988176774201165,-1.115321825687931,0.13286300058436215,0.09815107963528996,0.10956358163233759,0.8246357612762896,0.0368981891057984,1.3085484938003966,2.1040300000531715,-1.2151877225825876,0.09986589689465664
1872.56895,58872.068950000226,-15290.4338,1029.2235,-0.010508939155822246,-1.9237990157435052,0.12949398180449828,-0.554666682266559,0.10678536826605044,0.8246357612762896,0.0368981891057984,1.3085484938003966,2.1248700004143757,-1.2151877225825876,-0.7086112931609176
