time,f50,m50,f25,m25,f10,m10,f5,m5,f1,m1,f0.5,m0.5,f0.1,m0.1 
2.305517,11.054847,17.8311,8.092248,18.1698,5.100335,18.671,3.419416,19.1051,1.111395,20.3253,0.605682,20.9844,0.099733,22.9429
2.326855,11.123059,17.8244,8.136031,18.164,5.121375,18.6665,3.429245,19.102,1.11013,20.3266,0.603564,20.9882,0.098658,22.9547
2.348193,11.190857,17.8178,8.179463,18.1582,5.142155,18.6621,3.438885,19.099,1.108813,20.3279,0.601431,20.992,0.097595,22.9664
2.369531,11.258246,17.8113,8.222546,18.1525,5.162678,18.6578,3.44834,19.096,1.107445,20.3292,0.599283,20.9959,0.096543,22.9782
2.390869,11.325228,17.8049,8.265285,18.1469,5.182946,18.6536,3.457611,19.0931,1.106029,20.3306,0.597121,20.9998,0.095502,22.99
2.412207,11.391807,17.7985,8.307681,18.1413,5.202962,18.6494,3.466701,19.0902,1.104566,20.332,0.594947,21.0038,0.094472,23.0017
2.433545,11.457985,17.7922,8.349739,18.1358,5.22273,18.6453,3.475612,19.0874,1.103056,20.3335,0.59276,21.0078,0.093453,23.0135
2.454883,11.523766,17.786,8.39146,18.1304,5.242252,18.6412,3.484348,19.0847,1.101502,20.335,0.590562,21.0118,0.092445,23.0253
2.476221,11.589152,17.7799,8.432849,18.1251,5.261531,18.6372,3.49291,19.082,1.099904,20.3366,0.588353,21.0159,0.091448,23.0371
2.497558,11.654147,17.7738,8.473908,18.1198,5.28057,18.6333,3.5013,19.0794,1.098263,20.3382,0.586133,21.02,0.090462,23.0488
2.518896,11.718753,17.7678,8.51464,18.1146,5.29937,18.6294,3.509522,19.0769,1.096582,20.3399,0.583904,21.0241,0.089486,23.0606
2.540234,11.782974,17.7619,8.555048,18.1094,5.317936,18.6256,3.517578,19.0744,1.09486,20.3416,0.581666,21.0283,0.088521,23.0724
2.561572,11.846813,17.756,8.595134,18.1044,5.336269,18.6219,3.525469,19.072,1.093099,20.3434,0.57942,21.0325,0.087566,23.0842
2.58291,11.910271,17.7502,8.634902,18.0994,5.354372,18.6182,3.533198,19.0696,1.091301,20.3451,0.577166,21.0367,0.086622,23.0959
2.604248,11.973353,17.7445,8.674353,18.0944,5.372247,18.6146,3.540767,19.0673,1.089465,20.347,0.574905,21.041,0.085689,23.1077
2.625586,12.03606,17.7388,8.713492,18.0895,5.389898,18.611,3.548179,19.065,1.087594,20.3488,0.572638,21.0453,0.084765,23.1195
2.646924,12.098396,17.7332,8.752321,18.0847,5.407326,18.6075,3.555435,19.0628,1.085689,20.3507,0.570364,21.0496,0.083852,23.1312
2.668262,12.160364,17.7276,8.790841,18.0799,5.424534,18.6041,3.562537,19.0606,1.083749,20.3527,0.568085,21.054,0.082949,23.143
2.6896,12.221965,17.7221,8.829057,18.0752,5.441524,18.6007,3.569488,19.0585,1.081777,20.3547,0.5658,21.0583,0.082056,23.1547
2.710938,12.283203,17.7167,8.86697,18.0706,5.458298,18.5974,3.57629,19.0564,1.079773,20.3567,0.563511,21.0627,0.081173,23.1665
2.732275,12.34408,17.7114,8.904583,18.066,5.47486,18.5941,3.582944,19.0544,1.077738,20.3587,0.561218,21.0672,0.0803,23.1782
2.753613,12.404599,17.706,8.941899,18.0614,5.491211,18.5908,3.589453,19.0524,1.075673,20.3608,0.558921,21.0716,0.079436,23.19
2.774951,12.464762,17.7008,8.978919,18.0569,5.507353,18.5876,3.595818,19.0505,1.073579,20.3629,0.556621,21.0761,0.078583,23.2017
2.796289,12.524573,17.6956,9.015647,18.0525,5.523288,18.5845,3.602042,19.0486,1.071457,20.3651,0.554319,21.0806,0.077738,23.2134
2.817627,12.584032,17.6905,9.052085,18.0481,5.53902,18.5814,3.608126,19.0468,1.069307,20.3672,0.552013,21.0851,0.076904,23.2251
2.838965,12.643144,17.6854,9.088235,18.0438,5.554549,18.5784,3.614072,19.045,1.067131,20.3695,0.549706,21.0897,0.076078,23.2368
2.860303,12.70191,17.6803,9.1241,18.0395,5.569879,18.5754,3.619882,19.0433,1.06493,20.3717,0.547397,21.0942,0.075262,23.2486
2.881641,12.760333,17.6753,9.159682,18.0353,5.585011,18.5724,3.625558,19.0416,1.062703,20.374,0.545087,21.0988,0.074455,23.2603
2.902979,12.818415,17.6704,9.194984,18.0311,5.599947,18.5695,3.631101,19.0399,1.060452,20.3763,0.542776,21.1034,0.073658,23.272
2.924317,12.876158,17.6655,9.230006,18.027,5.61469,18.5667,3.636513,19.0383,1.058177,20.3786,0.540465,21.1081,0.072869,23.2836
2.945655,12.933565,17.6607,9.264753,18.0229,5.62924,18.5639,3.641796,19.0367,1.05588,20.381,0.538153,21.1127,0.072089,23.2953
2.966992,12.990639,17.6559,9.299226,18.0189,5.643601,18.5611,3.646952,19.0352,1.053561,20.3834,0.535841,21.1174,0.071318,23.307
2.98833,13.04738,17.6512,9.333427,18.0149,5.657775,18.5584,3.651982,19.0337,1.05122,20.3858,0.53353,21.1221,0.070556,23.3187
3.009668,13.103793,17.6465,9.367359,18.011,5.671762,18.5557,3.656888,19.0322,1.048859,20.3882,0.53122,21.1268,0.069802,23.3303
3.031006,13.159879,17.6419,9.401024,18.0071,5.685566,18.5531,3.661672,19.0308,1.046478,20.3907,0.528911,21.1315,0.069057,23.342
3.052344,13.215639,17.6373,9.434423,18.0032,5.699188,18.5505,3.666334,19.0294,1.044078,20.3932,0.526603,21.1363,0.06832,23.3536
3.073682,13.271078,17.6327,9.467559,17.9994,5.71263,18.5479,3.670878,19.0281,1.041659,20.3957,0.524296,21.1411,0.067592,23.3653
3.09502,13.326195,17.6282,9.500434,17.9956,5.725893,18.5454,3.675303,19.0268,1.039222,20.3982,0.521992,21.1458,0.066872,23.3769
3.116358,13.380995,17.6238,9.53305,17.9919,5.73898,18.5429,3.679612,19.0255,1.036767,20.4008,0.519689,21.1506,0.066161,23.3885
3.137696,13.435478,17.6194,9.56541,17.9882,5.751892,18.5405,3.683806,19.0243,1.034296,20.4034,0.517389,21.1555,0.065457,23.4001
3.159034,13.489647,17.615,9.597514,17.9846,5.764632,18.5381,3.687887,19.0231,1.031808,20.406,0.515092,21.1603,0.064761,23.4117
3.180372,13.543504,17.6107,9.629366,17.981,5.7772,18.5357,3.691856,19.0219,1.029305,20.4086,0.512798,21.1651,0.064074,23.4233
3.201709,13.597052,17.6064,9.660966,17.9774,5.789599,18.5334,3.695714,19.0208,1.026787,20.4113,0.510506,21.17,0.063394,23.4349
3.223047,13.650291,17.6021,9.692318,17.9739,5.80183,18.5311,3.699464,19.0197,1.024254,20.414,0.508218,21.1749,0.062722,23.4465
3.244385,13.703225,17.5979,9.723423,17.9705,5.813895,18.5288,3.703106,19.0186,1.021706,20.4167,0.505934,21.1798,0.062057,23.458
3.265723,13.755854,17.5938,9.754282,17.967,5.825796,18.5266,3.706641,19.0175,1.019146,20.4194,0.503653,21.1847,0.0614,23.4696
3.287061,13.808182,17.5897,9.784898,17.9636,5.837534,18.5244,3.710072,19.0165,1.016572,20.4222,0.501376,21.1896,0.060751,23.4811
3.308399,13.86021,17.5856,9.815273,17.9602,5.84911,18.5223,3.713399,19.0156,1.013986,20.4249,0.499103,21.1945,0.060109,23.4926
3.329737,13.91194,17.5815,9.845409,17.9569,5.860528,18.5202,3.716623,19.0146,1.011387,20.4277,0.496835,21.1995,0.059475,23.5042
3.351075,13.963373,17.5775,9.875307,17.9536,5.871787,18.5181,3.719747,19.0137,1.008777,20.4305,0.494571,21.2044,0.058847,23.5157
3.372413,14.014513,17.5736,9.904969,17.9504,5.882891,18.516,3.722771,19.0128,1.006156,20.4333,0.492312,21.2094,0.058227,23.5272
3.393751,14.06536,17.5696,9.934396,17.9471,5.893839,18.514,3.725696,19.012,1.003524,20.4362,0.490057,21.2144,0.057614,23.5387
3.415089,14.115917,17.5657,9.963592,17.944,5.904634,18.512,3.728524,19.0112,1.000882,20.439,0.487808,21.2194,0.057008,23.5502
